what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1470308334450
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1470308334482
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1470308334498
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1470308334561
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1470308334624
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1470308334655
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1470308334671
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1470308334703
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1470308334750
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1470308334782
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1470308334813
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1470308334892
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1470308334939
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1470308334987
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1470308334987
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1470308335002
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1470308335002
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1470308335018
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1470308335050
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1470308335097
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1470308335144
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1470308335160
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1470308335239
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1470308335286
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1470308335302
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1470308335334
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1470308335381
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1470308335381
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1470308335476
started,bundle,org.eclipse.m2e.discovery,1.2.0.20120903-1050,"org.eclipse.m2e.discovery",1470308335539
started,bundle,com.collabnet.subversion.merge,4.1.0,"com.collabnet.subversion.merge",1470308335539
started,bundle,org.tigris.subversion.clientadapter,1.10.3,"org.tigris.subversion.clientadapter",1470308335539
started,bundle,org.tigris.subversion.subclipse.core,1.10.10,"org.tigris.subversion.subclipse.core",1470308335539
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1470308335539
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1470308335570
started,bundle,org.tigris.subversion.subclipse.ui,1.10.9,"org.tigris.subversion.subclipse.ui",1470308335665
started,bundle,org.eclipse.team.svn.core,2.0.4.I20150123-1700,"org.eclipse.team.svn.core",1470308335791
started,bundle,org.eclipse.team.svn.mylyn,2.0.3.I20141224-1700,"org.eclipse.team.svn.mylyn",1470308335791
started,bundle,org.eclipse.team.svn.ui.startup,2.0.3.I20141224-1700,"org.eclipse.team.svn.ui.startup",1470308335823
os,sysinfo,,,"win32",1470308335839
arch,sysinfo,,,"x86_64",1470308335839
ws,sysinfo,,,"win32",1470308335839
locale,sysinfo,,,"en_US",1470308335839
processors,sysinfo,,,"2",1470308335839
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1470308335839
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1470308335839
java.specification.name,sysinfo,,,"Java Platform API Specification",1470308335839
java.specification.vendor,sysinfo,,,"Oracle Corporation",1470308335839
java.specification.version,sysinfo,,,"1.7",1470308335839
java.vendor,sysinfo,,,"Oracle Corporation",1470308335839
java.version,sysinfo,,,"1.7.0_13",1470308335839
java.vm.info,sysinfo,,,"mixed mode",1470308335839
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1470308335839
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1470308335839
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1470308335839
java.vm.specification.version,sysinfo,,,"1.7",1470308335839
java.vm.vendor,sysinfo,,,"Oracle Corporation",1470308335839
java.vm.version,sysinfo,,,"23.7-b01",1470308335839
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1470308337022
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1470308337038
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1470308337195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470308337464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470308339215
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1470308340335
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1470308340335
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1470308340351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470308341642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470308343030
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470308343117
